iter	Passed	Remaining
465	17773	20367
466	17810	20327
467	17848	20289
468	17885	20250
469	17923	20211
470	17959	20170
471	17994	20129
472	18032	20090
473	18068	20050
474	18105	20011
475	18141	19971
476	18179	19932
477	18217	19894
478	18255	19856
479	18292	19816
480	18328	19776
481	18365	19737
482	18402	19697
483	18439	19658
484	18475	19618
485	18515	19582
486	18552	19543
487	18588	19502
488	18625	19463
489	18662	19424
490	18700	19386
491	18739	19348
492	18776	19310
493	18814	19271
494	18850	19231
495	18885	19189
496	18923	19152
497	18960	19113
498	18999	19075
499	19038	19038
500	19075	18999
501	19111	18959
502	19147	18919
503	19186	18881
504	19222	18842
505	19260	18803
506	19298	18765
507	19336	18727
508	19373	18687
509	19412	18651
510	19451	18614
511	19489	18575
512	19524	18534
513	19563	18497
514	19600	18458
515	19638	18420
516	19678	18384
517	19716	18346
518	19755	18308
519	19788	18266
520	19825	18227
521	19864	18190
522	19903	18153
523	19941	18114
524	19979	18076
525	20017	18038
526	20054	17999
527	20091	17960
528	20131	17924
529	20172	17888
530	20210	17850
531	20249	17813
532	20286	17774
533	20325	17736
534	20362	17698
535	20397	17657
536	20435	17619
537	20477	17584
538	20512	17544
539	20550	17506
540	20585	17465
541	20622	17425
542	20657	17385
543	20696	17348
544	20735	17310
545	20774	17274
546	20812	17235
547	20848	17196
548	20886	17158
549	20922	17118
550	20960	17080
551	20998	17042
552	21035	17003
553	21096	16984
554	21136	16947
555	21176	16910
556	21214	16872
557	21252	16834
558	21292	16797
559	21331	16760
560	21370	16723
561	21407	16684
562	21446	16646
563	21482	16606
564	21519	16567
565	21557	16530
566	21599	16495
567	21637	16457
568	21675	16418
569	21715	16382
570	21753	16344
571	21793	16307
572	21835	16271
573	21881	16239
574	21923	16204
575	21975	16176
576	22020	16143
577	22058	16105
578	22094	16065
579	22131	16026
580	22168	15987
581	22206	15949
582	22242	15909
583	22281	15871
584	22322	15835
585	22366	15801
586	22408	15766
587	22450	15730
588	22490	15693
589	22527	15654
590	22566	15616
591	22599	15575
592	22635	15535
593	22673	15497
594	22712	15459
595	22750	15421
596	22787	15382
597	22822	15341
598	22858	15302
599	22897	15264
600	22933	15225
601	22973	15188
602	23009	15148
603	23046	15109
604	23083	15071
605	23121	15032
606	23158	14993
607	23194	14954
608	23230	14915
609	23267	14876
610	23304	14837
611	23342	14799
612	23378	14759
613	23415	14720
614	23453	14682
615	23490	14643
616	23529	14605
617	23568	14568
618	23606	14529
619	23645	14492
620	23685	14455
621	23722	14416
622	23762	14379
623	23800	14341
624	23836	14301
625	23873	14263
626	23913	14226
627	23952	14188
628	23991	14151
629	24026	14110
630	24063	14072
631	24101	14033
632	24135	13992
633	24172	13954
634	24239	13933
635	24278	13895
636	24317	13857
637	24361	13822
638	24400	13784
639	24437	13746
640	24474	13707
641	24514	13669
642	24551	13631
643	24593	13595
644	24636	13559
645	24676	13522
646	24714	13484
647	24751	13445
648	24788	13406
649	24826	13368
650	24864	13329
651	24901	13291
652	24938	13252
653	24976	13213
654	25015	13176
655	25054	13138
656	25092	13100
657	25130	13061
658	25167	13023
659	25204	12984
660	25241	12945
661	25283	12909
662	25322	12871
663	25362	12834
664	25402	12796
665	25438	12757
666	25474	12717
667	25511	12679
668	25546	12639
669	25580	12599
670	25618	12561
671	25656	12522
672	25694	12484
673	25734	12447
674	25769	12407
675	25807	12369
676	25845	12330
677	25880	12291
678	25915	12251
679	25951	12212
680	25991	12175
681	26030	12137
682	26067	12098
683	26103	12059
684	26142	12021
685	26183	11984
686	26235	11953
687	26281	11918
688	26342	11890
689	26383	11853
690	26422	11815
691	26461	11777
692	26499	11739
693	26533	11699
694	26573	11661
695	26612	11623
696	26656	11588
697	26700	11552
698	26740	11515
699	26779	11477
700	26817	11438
701	26855	11400
702	26894	11362
703	26931	11323
704	26969	11285
705	27008	11247
706	27045	11208
707	27083	11170
708	27120	11131
709	27159	11093
710	27198	11055
711	27235	11016
712	27274	10978
713	27311	10940
714	27349	10901
715	27387	10863
716	27424	10824
717	27461	10785
718	27497	10746
719	27534	10707
720	27572	10669
721	27607	10630
722	27643	10590
723	27679	10551
724	27716	10513
725	27754	10474
726	27789	10435
727	27827	10396
728	27863	10358
729	27900	10319
730	27937	10280
731	27974	10241
732	28011	10203
733	28048	10164
734	28084	10125
735	28122	10087
736	28159	10048
737	28195	10009
738	28232	9970
739	28271	9933
740	28308	9894
741	28347	9856
742	28385	9818
743	28425	9780
744	28462	9742
745	28501	9704
746	28540	9666
747	28576	9627
748	28612	9588
749	28649	9549
750	28686	9511
751	28724	9473
752	28762	9434
753	28798	9395
754	28837	9357
755	28873	9319
756	28908	9279
757	28945	9241
758	28982	9202
759	29021	9164
760	29058	9126
761	29097	9088
762	29135	9049
763	29174	9012
764	29220	8976
765	29258	8937
766	29295	8899
767	29333	8861
768	29370	8822
769	29409	8784
770	29450	8747
771	29491	8709
772	29532	8672
773	29570	8634
774	29608	8596
775	29644	8557
776	29684	8519
777	29721	8480
778	29759	8442
779	29797	8404
780	29833	8365
781	29868	8326
782	29906	8288
783	29942	8249
784	29980	8211
785	30017	8172
786	30055	8134
787	30091	8095
788	30127	8056
789	30164	8018
790	30226	7986
791	30264	7948
792	30303	7910
793	30348	7873
794	30390	7836
795	30434	7799
796	30475	7762
797	30515	7724
798	30557	7687
799	30601	7650
800	30636	7611
801	30674	7573
802	30712	7534
803	30748	7496
804	30785	7457
805	30820	7418
806	30857	7379
807	30893	7341
808	30930	7302
809	30965	7263
810	31002	7225
811	31039	7186
812	31079	7148
813	31117	7110
814	31156	7072
815	31194	7033
816	31230	6995
817	31269	6957
818	31311	6919
819	31353	6882
820	31396	6845
821	31437	6807
822	31474	6769
823	31510	6730
824	31546	6691
825	31583	6653
826	31620	6614
827	31658	6576
828	31694	6537
829	31731	6499
830	31770	6461
831	31805	6422
832	31843	6383
833	31879	6345
834	31915	6306
835	31952	6268
836	31988	6229
837	32025	6191
838	32058	6151
839	32098	6114
840	32135	6075
841	32172	6037
842	32210	5998
843	32246	5960
844	32284	5921
845	32318	5883
846	32357	5845
847	32394	5806
848	32431	5768
849	32467	5729
850	32504	5691
851	32541	5652
852	32577	5614
853	32615	5575
854	32652	5537
855	32686	5498
856	32722	5460
857	32760	5421
858	32797	5383
859	32834	5345
860	32871	5306
861	32907	5268
862	32944	5229
863	32981	5191
864	33018	5153
865	33055	5114
866	33091	5076
867	33124	5037
868	33161	4998
869	33197	4960
870	33234	4922
871	33270	4883
872	33301	4844
873	33337	4806
874	33374	4767
875	33409	4729
876	33446	4690
877	33481	4652
878	33518	4614
879	33555	4575
880	33591	4537
881	33624	4498
882	33663	4460
883	33700	4422
884	33734	4383
885	33773	4345
886	33810	4307
887	33849	4269
888	33886	4230
889	33922	4192
890	33961	4154
891	33998	4116
892	34035	4078
893	34074	4040
894	34112	4002
895	34149	3963
896	34186	3925
897	34224	3887
898	34259	3848
899	34296	3810
900	34331	3772
901	34369	3734
902	34406	3695
903	34443	3657
904	34479	3619
905	34516	3581
906	34554	3543
907	34591	3504
908	34626	3466
909	34663	3428
910	34700	3390
911	34737	3351
912	34772	3313
913	34809	3275
914	34846	3237
915	34883	3198
916	34918	3160
917	34952	3122
918	34989	3083
919	35022	3045
920	35057	3007
921	35095	2969
922	35130	2930
923	35167	2892
924	35204	2854
925	35241	2816
926	35278	2778
927	35313	2739
928	35351	2701
929	35386	2663
930	35418	2624
931	35456	2586
932	35490	2548
933	35522	2510
934	35559	2472
935	35598	2434
936	35635	2395
937	35669	2357
938	35707	2319
939	35745	2281
940	35781	2243
941	35817	2205
942	35855	2167
943	35892	2129
944	35926	2090
945	35962	2052
946	35997	2014
947	36031	1976
948	36071	1938
949	36108	1900
950	36145	1862
951	36183	1824
952	36221	1786
953	36258	1748
954	36297	1710
955	36332	1672
956	36360	1633
957	36388	1595
958	36416	1556
959	36445	1518
960	36475	1480
961	36513	1442
962	36550	1404
963	36587	1366
964	36622	1328
965	36656	1290
966	36693	1252
967	36731	1214
968	36768	1176
969	36806	1138
970	36844	1100
971	36878	1062
972	36916	1024
973	36952	986
974	36980	948
975	37008	910
976	37037	871
977	37073	833
978	37111	796
979	37144	758
980	37174	719
981	37204	681
982	37233	643
983	37262	605
984	37291	567
985	37319	529
986	37348	491
987	37377	453
988	37408	416
989	37444	378
990	37491	340
991	37539	302
992	37567	264
993	37602	226
994	37639	189
995	37678	151
996	37712	113
997	37747	75
998	37784	37
999	37820	0
