iter	Logloss
0	0.2909915484
1	0.1650765667
2	0.1414476082
3	0.1331979593
4	0.1294530178
5	0.1267741496
6	0.1252438349
7	0.1232200014
8	0.1187556076
9	0.1172599445
10	0.1156113551
11	0.1151859803
12	0.1147237799
13	0.1140225894
14	0.1135852687
15	0.113477411
16	0.1127105493
17	0.1121923475
18	0.111515258
19	0.1112620981
20	0.1108810138
21	0.1095358489
22	0.1091295328
23	0.1086877145
24	0.1085007222
25	0.1080535401
26	0.1075294925
27	0.1073156983
28	0.1071459725
29	0.1069789135
30	0.1066572787
31	0.1060977442
32	0.1056115638
33	0.1052247933
34	0.1048008921
35	0.1039534943
36	0.1036326749
37	0.1030013229
38	0.1025506376
39	0.1022599168
40	0.1018961101
41	0.1013541558
42	0.1008911002
43	0.1007931578
44	0.1003162877
45	0.09991090548
46	0.09971152692
47	0.09909416818
48	0.09883056448
49	0.09822372209
50	0.09789609036
51	0.0973648507
52	0.09698314665
53	0.0965373189
54	0.09630304837
55	0.09549559553
56	0.09512628023
57	0.0950647725
58	0.09466262713
59	0.09456103825
60	0.0942654499
61	0.09416961555
62	0.0939725062
63	0.09381056769
64	0.09371000633
65	0.09351638551
66	0.09323924021
67	0.0926098542
68	0.09241467657
69	0.09210460883
70	0.091836924
71	0.09159008598
72	0.09113552143
73	0.0909629973
74	0.09054805124
75	0.08998286476
76	0.08958108026
77	0.08906630176
78	0.08864833404
79	0.08825661822
80	0.08794776015
81	0.08766762588
82	0.08705640643
83	0.08672701932
84	0.08639101254
85	0.0859585399
86	0.08573611835
87	0.08554277415
88	0.0851652352
89	0.08485815949
90	0.08469676789
91	0.08444853737
92	0.08428809581
93	0.08413543717
94	0.08362720416
95	0.08335600173
96	0.08319846997
97	0.08310913325
98	0.08280033853
99	0.08244929635
100	0.08212985224
101	0.08193503782
102	0.08179919554
103	0.08163670905
104	0.08151586041
105	0.08132989905
106	0.08115270216
107	0.08101377307
108	0.08092489152
109	0.08041370708
110	0.08023584707
111	0.08010762019
112	0.07993529203
113	0.07972299873
114	0.07950238571
115	0.07891104705
116	0.078618569
117	0.07844789511
118	0.07819182176
119	0.07797944715
120	0.07774927333
121	0.07755957084
122	0.07739447561
123	0.07704508341
124	0.07652361416
125	0.07616171182
126	0.07593396353
127	0.07579461987
128	0.07563483262
129	0.07528726983
130	0.07505269527
131	0.07469284175
132	0.07440772322
133	0.07424833674
134	0.07408481905
135	0.07390740435
136	0.0738096516
137	0.07354615771
138	0.07337871551
139	0.07316643751
140	0.07290657168
141	0.07265545379
142	0.07251387901
143	0.0723851241
144	0.07225055137
145	0.07208214007
146	0.07192175076
147	0.0718337439
148	0.07170515759
149	0.07154989963
150	0.07129460246
151	0.07114550869
152	0.07098464837
153	0.0708963556
154	0.07074084743
155	0.07061096125
156	0.07042588522
157	0.07028644129
158	0.07011131244
159	0.06992509202
160	0.06983932673
161	0.06969090434
162	0.06951369215
163	0.06943940611
164	0.06930965439
165	0.06914836303
166	0.06906274434
167	0.06879896845
168	0.06864888116
169	0.06853746436
170	0.06845293756
171	0.06821750427
172	0.06800818223
173	0.06778584851
174	0.06767473091
175	0.06752391835
176	0.0673443893
177	0.0671969204
178	0.06702102354
179	0.06685045659
180	0.06671552009
181	0.0665662709
182	0.06646370048
183	0.06638150239
184	0.06628757061
185	0.06613401968
186	0.06602978441
187	0.06579277102
188	0.06568544396
189	0.0655527514
190	0.06530371776
191	0.06522910876
192	0.06512205836
193	0.06504028402
194	0.06489080633
195	0.0647249521
196	0.06450279436
197	0.06435861569
198	0.06422909248
199	0.06411195716
200	0.06394053683
201	0.06380306526
202	0.06362648252
203	0.06341607952
204	0.06330425258
205	0.06311865551
206	0.06294807675
207	0.06278485581
208	0.06263954589
209	0.06251258536
210	0.06241745553
211	0.06229433653
212	0.0621618528
213	0.0619601454
214	0.06171548833
215	0.06158810307
216	0.06138691361
217	0.06111285325
218	0.06094741809
219	0.06078887216
220	0.06067651409
221	0.06048431441
222	0.06033698318
223	0.06019006762
224	0.06014086914
225	0.06003061091
226	0.05994917425
227	0.05982248982
228	0.05975641328
229	0.05957354663
230	0.05948051618
231	0.05939566316
232	0.05927348899
233	0.05917775274
234	0.05906062464
235	0.05886995215
236	0.05871357674
237	0.05854987027
238	0.05848848412
239	0.0584160067
240	0.05827396465
241	0.05812525202
242	0.05798400558
243	0.05787734152
244	0.05776455482
245	0.05764538471
246	0.05758619816
247	0.05745368212
248	0.05732950092
249	0.05725814736
250	0.05718788769
251	0.05700879374
252	0.05687507551
253	0.0567725469
254	0.05668629206
255	0.0565924367
256	0.05647017475
257	0.05638942241
258	0.05627061931
259	0.05615287683
260	0.05598087618
261	0.05584693913
262	0.05572270269
263	0.05563383831
264	0.05557110701
265	0.05545125022
266	0.05536669078
267	0.05521941886
268	0.05516451064
269	0.05506631114
270	0.05500663573
271	0.05487295627
272	0.05475710926
273	0.05464091608
274	0.05458551664
275	0.05446494293
276	0.0543942236
277	0.0543165005
278	0.05417693406
279	0.05409331281
280	0.05403938325
281	0.05397566635
282	0.05389861779
283	0.05381203011
284	0.05375208369
285	0.05367378152
286	0.05355666762
287	0.05348786909
288	0.05345571088
289	0.05340018555
290	0.05329738151
291	0.05318676568
292	0.05312952832
293	0.05300781904
294	0.05289052541
295	0.05273761971
296	0.05259822936
297	0.05247839875
298	0.052390798
299	0.05227223014
300	0.05219665362
301	0.05211023242
302	0.0520193848
303	0.05188167565
304	0.0517577312
305	0.05169331783
306	0.05160201764
307	0.05149116583
308	0.05138689023
309	0.05124681233
310	0.05118695972
311	0.05112760719
312	0.05102170894
313	0.05090089867
314	0.05082655853
315	0.05068936611
316	0.05063888943
317	0.05053934376
318	0.05048839337
319	0.05036586267
320	0.05025922131
321	0.05020094788
322	0.05011881679
323	0.05003337221
324	0.04991925779
325	0.04986122444
326	0.04974850347
327	0.0496112489
328	0.04949745095
329	0.04945958251
330	0.04939111303
331	0.04931237619
332	0.04925640348
333	0.04915276539
334	0.04909158349
335	0.04896971775
336	0.04892197095
337	0.04885226501
338	0.04876663504
339	0.04867056892
340	0.04856785232
341	0.04849126432
342	0.04840279289
343	0.04827909986
344	0.04811490267
345	0.04804401442
346	0.04798778441
347	0.04794133017
348	0.04786315861
349	0.04776797986
350	0.04763400505
351	0.04757713954
352	0.04746674523
353	0.04741377616
354	0.04737363684
355	0.04731864693
356	0.0472221946
357	0.04708356253
358	0.0470123133
359	0.04690977459
